id_obs,id_name,obs_bjd,obs_counts,obs_exposure_time,obs_logline,obs_decker,smemp_teff,smemp_teff_err,smemp_radius,smemp_fe,smemp_fe_err,smsyn_teff,smsyn_teff_err,smsyn_logg,smsyn_logg_err,smsyn_fe,smsyn_fe_err,smsyn_vsini
j70.1041,K00005,2454987.0339743,86844.0,750.08239746,"1041   K00005         n  12:45:41   750  (geom:12:45:52) Template, B5, Exp=90k Warning: Flux-wtd midpt - Geometrical midpt =11 sec.",B5,5821.0,110.0,1.799,0.15,0.09,5845.30846488,100.0,4.07978041092,0.1,0.138883962042,0.06,8.08391758409
j70.1045,K00010,2454987.04982946,20012.0,956.62518311,"1045   K00010         n  13:07:48   956  (geom:13:07:50) Template, B5, Exp=20k",B5,6124.0,110.0,1.488,-0.22,0.09,6224.73400037,100.0,4.20870003281,0.1,-0.0456883439298,0.06,10.5222734829
j70.1247,K00006,2454988.04992887,55576.0,750.11956787,"1247   K00006         n  13:08:13   750  (geom:13:08:02) Template, B5, Exp=56k",B5,6133.0,110.0,1.667,-0.12,0.09,6355.76779992,100.0,4.36169440866,0.1,0.0481326993537,0.06,11.8289798658
j70.1251,K00008,2454988.06305324,37188.0,750.11962891,"1251   K00008         n  13:27:42   750  (geom:13:27:39) Template, B5, Exp=37k",B5,5913.0,110.0,1.1,-0.05,0.09,5895.31098078,100.0,4.53907266024,0.1,-0.0636854577025,0.06,3.03290909803
j72.483,K00017,2455015.99601086,28088.0,1000.08679199,"483    K00017         n  11:50:36  1000  (geom:11:50:47) Template, B5",B5,5553.0,110.0,1.306,0.34,0.09,5673.28520811,100.0,4.11155982872,0.1,0.356717621749,0.06,2.62926723083
j72.487,K00018,2455016.01308113,27424.0,1000.15002441,"487    K00018         n  12:14:41  1000  (geom:12:14:44) Template, B5",B5,6275.0,110.0,1.452,0.04,0.09,6325.54251879,100.0,4.14253164226,0.1,0.0250591730165,0.06,4.41573297017
j72.816,K00020,2455017.03076841,28672.0,1000.10839844,"816    K00020         n  12:40:44  1000  (geom:12:40:47) Template, B5",B5,6002.0,110.0,1.288,0.09,0.09,5961.88711377,100.0,4.08743304937,0.1,0.048576462742,0.06,2.13822060705
j72.820,K00022,2455017.0467557,25560.0,1000.09918213,"820    K00022         n  13:03:14  1000  (geom:13:03:20) Template, B5",B5,5801.0,110.0,1.261,0.17,0.09,5917.44071092,100.0,4.21640662717,0.1,0.219911272852,0.06,2.7706565025
j74.509,K00007,2455043.93793257,80212.0,1200.13879395,"509    K00007         n  10:26:54  1200  (geom:10:26:54) Template, B5",B5,5755.0,110.0,1.483,0.17,0.09,5816.68977631,100.0,4.0328151568,0.1,0.176580276,0.06,2.78854185694
j74.513,K00041,2455043.95762516,209160.0,1200.15197754,"513    K00041         n  10:54:02  1200  (geom:10:54:00) Template, B5",B5,5840.0,110.0,1.395,0.12,0.09,5874.75233172,100.0,4.07186251432,0.1,0.112967784192,0.06,3.5715132071
j74.514,K00041,2455043.97187212,210668.0,1200.09765625,"514    K00041         n  11:14:33  1200  (geom:11:14:44) ""            (Exp=210k)",B5,5842.0,110.0,1.401,0.12,0.09,5875.14299045,100.0,4.07602669566,0.1,0.113144246277,0.06,3.6588210253
j74.515,K00041,2455043.98632909,200668.0,1200.13952637,"515    K00041         n  11:35:22  1200  (geom:11:35:38) """,B5,5852.0,110.0,1.423,0.13,0.09,5873.61960901,100.0,4.07758656415,0.1,0.111779140187,0.06,3.73009307064
j74.694,K00063,2455044.97002946,83260.0,1200.08874512,"694    K00063         n  11:12:55  1200  (geom:11:12:00) Tempalte, B5, Exp=83k",B5,5364.0,110.0,0.936,0.1,0.09,5606.65677981,100.0,4.6127115507,0.1,0.217778644348,0.06,5.67880242954
j74.695,K00064,2455044.98492103,20168.0,1200.15551758,"695    K00064         n  11:33:15  1200  (geom:11:33:22) ""             Exp=20k",B5,5172.0,110.0,2.711,-0.03,0.09,5328.55142912,100.0,3.87973106781,0.1,0.0616420762553,0.06,3.30896907685
