obs,runnum,expnum,id_koi,name,is_sb2,is_sb2_notes,
rj92.152,92,152,877,K00877,1,,
rj117.630,117,630,254,CK00254,1,,
rj118.854,118,854,315,CK00315,1,,
rj118.860,118,860,719,CK00719,1,,
rj118.1351,118,1351,338,CK00338,1,,
rj119.1137,119,1137,161,CK00161,1,,
rj120.730,120,730,345,CK00345,1,,
rj120.928,120,928,387,CK00387,1,,
rj120.1132,120,1132,144,CK00144,1,,
rj122.750,122,750,82,CK00082,1,,
rj123.81,123,81,898,K00898,1,,
rj124.336,124,336,1026,CK01026,1,,
rj127.706,127,706,500,CK00500,1,,
rj127.707,127,707,1361,CK01361,4, 2% of primary. +40 km/s. 2% is near the limit of detection,
rj127.889,127,889,1199,CK01199,1,,
rj128.80,128,80,104,CK00104,1,,
rj128.83,128,83,305,CK00305,1,,
rj128.477,128,477,676,CK00676,1,,
rj130.476,130,476,657,CK00657,1,,
rj130.900,130,900,348,CK00348,1,,
rj130.2522,130,2522,247,CK00247,1,,
rj131.513,131,513,1797,CK01797,1,,
rj133.595,133,595,197,CK00197,1,,
rj134.202,134,202,2173,CK02173,1,,
rj134.204,134,204,490,CK00490,1,,
rj137.205,137,205,241,CK00241,1,,
rj152.679,152,679,2503,CK02503,1,,
rj152.920,152,920,153,CK00153,1,,
rj152.1112,152,1112,1937,CK01937,1,,
rj152.1275,152,1275,1803,CK01803,1,,
rj152.1378,152,1378,2013,CK02013,1,,
rj153.90,153,90,1843,CK01843,1,,
rj153.98,153,98,2522,CK02522,1,,
rj153.291,153,291,1877,CK01877,1,,
rj153.292,153,292,1985,CK01985,1,,
rj153.320,153,320,958,CK00958,1,,
rj153.322,153,322,1726,CK01726,2,,
rj153.498,153,498,1781,K01781,1,,
rj153.511,153,511,248,CK00248,1,,
rj153.512,153,512,775,CK00775,1,,
rj153.513,153,513,870,CK00870,1,,
rj153.683,153,683,2219,CK02219,1,,
rj153.707,153,707,174,CK00174,1,,
rj153.1288,153,1288,1815,CK01815,1,,
rj153.1319,153,1319,1905,CK01905,1,,
rj154.77,154,77,2059,CK02059,1,,
rj154.304,154,304,2527,CK02527,1,,
rj154.344,154,344,571,CK00571,1,,
rj155.273,155,273,3246,CK03246,1,,
rj156.283,156,283,1557,CK01557,1,,
rj156.300,156,300,1977,CK01977,1,,
rj156.532,156,532,1988,CK01988,1,,
rj156.791,156,791,438,K00438,1,,
rj157.93,157,93,448,K00448,1,,
rj157.284,157,284,1430,K01430,1,,
rj157.514,157,514,812,K00812,1,,
rj157.688,157,688,2650,K02650,1,,
rj158.280,158,280,854,K00854,1,,
rj158.281,158,281,947,K00947,1,,
rj158.285,158,285,518,K00518,4, 3% of primary, +92%. 
rj158.286,158,286,1408,K01408,1,,
rj158.294,158,294,2693,CK02693,1,,
rj158.489,158,489,1876,K01876,1,,
rj158.492,158,492,2339,K02339,1,,
rj158.1177,158,1177,701,K00701,1,,
rj158.1181,158,1181,314,CK00314,1,,
rj158.1188,158,1188,1567,CK01567,1,,
rj158.1278,158,1278,835,K00835,1,,
rj158.1384,158,1384,2626,K02626,1,,
rj159.80,159,80,1422,K01422,1,,
rj159.81,159,81,1298,K01298,1,,
rj159.82,159,82,1596,K01596,1,,
rj159.93,159,93,2867,CK02867,5, 28% of primary, delta RV = 44 km/s
rj159.690,159,690,1078,K01078,1,,
rj159.901,159,901,886,K00886,1,,
rj159.902,159,902,2762,K02762,1,,
rj159.903,159,903,2770,K02770,1,,
rj172.65,172,65,4742,K04742,1,,
rj172.66,172,66,4427,K04427,1,,
rj172.67,172,67,4087,K04087,1,,
rj172.69,172,69,3255,K03255,1,,
rj172.70,172,70,2529,K02529,1,,
rj172.71,172,71,4622,K04622,1,,
rj172.72,172,72,4745,K04745,1,,
rj173.1193,173,1193,3835,CK03835,1,,
rj177.305,177,305,3444,CK03444,1,,
rj178.298,178,298,4097,CK04097,1,,
rj178.310,178,310,3886,CK03886,4,weak evidence of comp at small RV separation.,
rj179.75,179,75,904,K00904,1,,
rj179.89,179,89,2686,CK02686,1,,
rj179.523,179,523,4725,CK04725,1,,
rj179.711,179,711,1904,CK01904,1,,
rj179.713,179,713,1174,CK01174,1,,
rj179.892,179,892,4252,CK04252,1,,
rj180.289,180,289,4016,CK04016,1,,
rj181.97,181,97,1951,CK01951,1,,
rj183.391,183,391,4036,CK04036,1,,
rj189.1496,189,1496,569,CK00569,1,,
rj189.2211,189,2211,825,CK00825,1,,
rj189.2371,189,2371,446,CK00446,1,,
rj189.2480,189,2480,817,CK00817,1,,
rj189.2509,189,2509,4469,CK04469,1,,
rj190.401,190,401,868,K00868,1,,
rj190.796,190,796,2045,CK02045,1,,
rj190.801,190,801,1466,K01466,1,,
rj191.59,191,59,2184,K02184,1,,
rj191.69,191,69,4109,CK04109,1,,
rj191.162,191,162,1480,CK01480,1,,
rj191.163,191,163,1772,K01772,4, unusual cross-correlation.,
rj191.466,191,466,2828,K02828,1,,
rj192.269,192,269,2703,K02703,1,,
rj192.273,192,273,2933,K02933,1,,
rj192.276,192,276,2306,CK02306,1,,
rj192.283,192,283,899,CK00899,1,,
rj192.287,192,287,3282,K03282,1,,
rj192.290,192,290,2992,K02992,1,,
rj192.522,192,522,1428,CK01428,1,,
rj192.524,192,524,874,CK00874,1,,
rj192.529,192,529,4356,K04356,1,,
rj192.707,192,707,3923,K03923,1,,
rj192.868,192,868,574,CK00574,1,,
rj192.873,192,873,2036,CK02036,1,,
rj193.294,193,294,2763,CK02763,1,,
rj193.897,193,897,1874,CK01874,1,,
rj193.1079,193,1079,4419,CK04419,1,,
rj194.290,194,290,5749,K05749,1,,
rj194.305,194,305,2694,CK02694,1,,
rj194.693,194,693,458,K00458,1,,
rj194.695,194,695,2742,CK02742,1,,
rj194.1089,194,1089,4207,CK04207,1,,
rj194.1293,194,1293,5966,K05966,1,,
rj201.114,201,114,1891,CK01891,1,,
rj201.1198,201,1198,1940,CK01940,1,,
rj201.1237,201,1237,1845,CK01845,1,,
rj202.316,202,316,3034,K03034,1,,
rj202.535,202,535,1713,CK01713,1,,
rj202.719,202,719,837,CK00837,1,,
rj202.916,202,916,2073,CK02073,1,,
rj202.918,202,918,5574,K05574,1,,
rj202.1095,202,1095,2413,CK02413,1,,
rj202.1812,202,1812,2554,CK02554,1,,
rj202.2103,202,2103,1867,CK01867,1,,
rj203.275,203,275,5689,K05689,1,,
rj204.98,204,98,1895,CK01895,1,,
rj206.74,206,74,736,CK00736,1,,
rj208.101,208,101,1908,CK01908,1,,
rj208.304,208,304,1681,K01681,1,,
rj211.300,211,300,520,CK00520,1,,
rj212.84,212,84,1611,K01611,1,,
rj274.108,274,108,784,K00784,1,,
rj290.86,290,86,309,CK00309,1,,
