,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
0,KIC757450,5305.5,100,4.485,0.1,0.22899999999999998,0.06,-99,-99,13.118,0.029,291.13762027936434,36.57734431115277,kmag,green18,cks1
1,KIC1026957,4925.4,100,4.604,0.1,-0.01,0.06,-99,-99,10.41,0.017,291.2544229274798,36.743430200789845,kmag,green18,cks1
2,KIC1027438,6103.6,100,4.199,0.1,-0.063,0.06,-99,-99,12.188,0.022,291.3539738229923,36.784489219180436,kmag,green18,cks1
3,KIC1718189,5549.2,100,4.595,0.1,-0.317,0.06,-99,-99,12.732,0.025,290.7287168478391,37.252657539111595,kmag,green18,cks1
4,KIC1718958,5966.2,100,4.3839999999999995,0.1,-0.134,0.06,-99,-99,11.436,0.018,290.91932650162505,37.28716768826346,kmag,green18,cks1
5,KIC1724719,6173.5,100,4.357,0.1,0.10300000000000001,0.06,-99,-99,12.59,0.026,292.20467479828017,37.22120648630709,kmag,green18,cks1
6,KIC1849702,4971.5,100,4.538,0.1,-0.226,0.06,-99,-99,12.146,0.024,286.2859300107134,37.38699146244389,kmag,green18,cks1
7,KIC1865042,5404.5,100,4.397,0.1,0.122,0.06,-99,-99,11.815,0.02,290.6822096567193,37.355159290661376,kmag,green18,cks1
8,KIC1871056,6284.1,100,4.0969999999999995,0.1,0.133,0.06,-99,-99,11.591,0.02,292.0446280297945,37.376186103189056,kmag,green18,cks1
9,KIC1996180,6099.4,100,4.341,0.1,0.021,0.06,-99,-99,12.503,0.022,286.3442954268307,37.411934661616286,kmag,green18,cks1
10,KIC2141783,6119.9,100,4.144,0.1,0.201,0.06,-99,-99,12.4,0.025,286.37001128349203,37.552514172323505,kmag,green18,cks1
11,KIC2142501,5730.9,100,4.408,0.1,-0.0,0.06,-99,-99,10.895,0.021,286.6190847134347,37.50412089870599,kmag,green18,cks1
12,KIC2142522,6125.2,100,4.323,0.1,0.14400000000000002,0.06,-99,-99,11.588,0.021,286.6257591353654,37.53731304379771,kmag,green18,cks1
13,KIC2162635,4921.4,100,3.6210000000000004,0.1,0.076,0.06,-99,-99,11.582,0.02,291.97753943752014,37.53246652234232,kmag,green18,cks1
14,KIC2165002,5112.9,100,4.71,0.1,-0.081,0.06,-99,-99,13.548,0.048,292.46980222237744,37.56779409431533,kmag,green18,cks1
15,KIC2302548,5121.0,100,4.687,0.1,0.114,0.06,-99,-99,11.585,0.021,291.36473334982514,37.60923901604399,kmag,green18,cks1
16,KIC2305819,5699.6,100,4.466,0.1,-0.413,0.06,-99,-99,10.354,0.018,292.08057759845667,37.67464617491707,kmag,green18,cks1
17,KIC2307415,6139.8,100,4.252,0.1,0.052000000000000005,0.06,-99,-99,11.704,0.021,292.4210998336344,37.68279194622972,kmag,green18,cks1
18,KIC2438264,5078.4,100,4.535,0.1,0.16899999999999998,0.06,-99,-99,12.155,0.023,290.2964214343633,37.74942708695613,kmag,green18,cks1
19,KIC2438406,5099.1,100,3.9130000000000003,0.1,-0.134,0.06,-99,-99,14.418,0.07399999999999998,290.3150650572775,37.7424654537453,kmag,green18,cks1
20,KIC2438513,5739.4,100,4.585,0.1,0.07400000000000001,0.06,-99,-99,12.527999999999999,0.024,290.32864546017896,37.723118841614436,kmag,green18,cks1
21,KIC2441495,5158.6,100,4.563,0.1,-0.215,0.06,-99,-99,11.716,0.02,291.021889924062,37.76987342640929,kmag,green18,cks1
22,KIC2443393,6277.5,100,4.093999999999999,0.1,-0.05,0.06,-99,-99,11.359000000000002,0.018,291.45751684672166,37.742910840715034,kmag,green18,cks1
23,KIC2444412,5565.2,100,4.5360000000000005,0.1,0.008,0.06,-99,-99,11.047,0.02,291.68328783150935,37.75147255674818,kmag,green18,cks1
24,KIC2449431,5617.9,100,4.369,0.1,-0.233,0.06,-99,-99,12.251,0.022,292.773943838677,37.79756172468728,kmag,green18,cks1
25,KIC2571238,5520.3,100,4.485,0.1,-0.032,0.06,-99,-99,10.318,0.019,290.420969441132,37.851655622598074,kmag,green18,cks1
26,KIC2572029,5848.8,100,4.238,0.1,0.07,0.06,-99,-99,12.092,0.021,290.6080806810913,37.80193409406621,kmag,green18,cks1
27,KIC2581316,6194.5,100,4.292,0.1,0.121,0.06,-99,-99,10.688,0.018,292.6274943414798,37.86016532109599,kmag,green18,cks1
28,KIC2581554,5013.4,100,4.703,0.1,0.045,0.06,-99,-99,10.84,0.029,292.69037790740884,37.835054926614966,kmag,green18,cks1
29,KIC2692377,5566.9,100,4.542,0.1,0.19899999999999998,0.06,-99,-99,11.253,0.017,285.66169334771286,37.964567200865744,kmag,green18,cks1
30,KIC2697935,4930.8,100,3.5660000000000003,0.1,-0.08,0.06,-99,-99,8.511,0.018,287.46808588322017,37.96666374325228,kmag,green18,cks1
31,KIC2711597,4946.9,100,4.592,0.1,0.083,0.06,-99,-99,12.274,0.021,291.1245415387035,37.98657389500024,kmag,green18,cks1
32,KIC2720514,5957.0,100,4.263999999999999,0.1,-0.175,0.06,-99,-99,11.901,0.021,293.07073499916805,37.9867884004169,kmag,green18,cks1
33,KIC2831055,5752.0,100,4.34,0.1,0.015,0.06,-99,-99,12.216,0.022,285.5129495648723,38.07983902752281,kmag,green18,cks1
34,KIC2849805,5736.2,100,4.322,0.1,0.040999999999999995,0.06,-99,-99,11.888,0.02,290.88462173818834,38.05755394016614,kmag,green18,cks1
35,KIC2852941,6173.1,100,4.245,0.1,-0.342,0.06,-99,-99,12.159,0.023,291.5434459287652,38.048739108340186,kmag,green18,cks1
36,KIC2853780,5077.6,100,3.571,0.1,0.182,0.06,-99,-99,11.341,0.02,291.7291463516108,38.06990746120225,kmag,green18,cks1
37,KIC2854698,5540.7,100,4.52,0.1,0.287,0.06,-99,-99,12.494000000000002,0.026,291.92596575505354,38.01405245541819,kmag,green18,cks1
38,KIC2854914,6096.7,100,4.291,0.1,0.039,0.06,-99,-99,12.382,0.026,291.97615590603266,38.055032727893526,kmag,green18,cks1
39,KIC2857607,5599.7,100,4.4639999999999995,0.1,-0.032,0.06,-99,-99,12.12,0.023,292.51471462853004,38.02198722536078,kmag,green18,cks1
40,KIC2859893,5843.7,100,4.1819999999999995,0.1,0.23600000000000002,0.06,-99,-99,14.23,0.08,293.01486882242745,38.012390602842295,kmag,green18,cks1
41,KIC2985587,6400.2,100,4.288,0.1,0.16,0.06,-99,-99,12.537,0.035,290.480057023133,38.13669759813509,kmag,green18,cks1
42,KIC2987027,4937.7,100,4.505,0.1,0.025,0.06,-99,-99,11.959000000000001,0.02,290.8332411884934,38.18418510331824,kmag,green18,cks1
43,KIC2989404,5935.1,100,4.336,0.1,-0.158,0.06,-99,-99,11.354,0.02,291.38229877579886,38.12745954865918,kmag,green18,cks1
44,KIC2990873,5565.9,100,4.413,0.1,0.01,0.06,-99,-99,12.445,0.026,291.69948409797826,38.14520653148128,kmag,green18,cks1
45,KIC3098810,6190.4,100,4.276,0.1,0.152,0.06,-99,-99,11.692,0.02,286.22322844997944,38.25816764276063,kmag,green18,cks1
46,KIC3102384,5677.6,100,4.237,0.1,0.28,0.06,-99,-99,9.968,0.018,287.47864743014696,38.2290751402896,kmag,green18,cks1
47,KIC3109550,5409.0,100,4.542,0.1,0.188,0.06,-99,-99,10.501,0.018,289.67172023244206,38.29779218566817,kmag,green18,cks1
48,KIC3112129,5999.7,100,4.393,0.1,-0.115,0.06,-99,-99,12.969,0.029,290.33718587692675,38.204973334696895,kmag,green18,cks1
49,KIC3114811,6512.7,100,4.1610000000000005,0.1,-0.023,0.06,-99,-99,11.64,0.02,291.0318604073705,38.21189399694544,kmag,green18,cks1
50,KIC3116412,5641.4,100,3.9730000000000003,0.1,0.12,0.06,-99,-99,12.299,0.026,291.4235820406574,38.21656027885446,kmag,green18,cks1
51,KIC3120904,6044.8,100,3.975,0.1,0.004,0.06,-99,-99,11.635,0.021,292.4227920220441,38.26628240679509,kmag,green18,cks1
52,KIC3122872,6570.4,100,4.159,0.1,-0.162,0.06,-99,-99,10.82,0.018,292.8922091447252,38.270535027211615,kmag,green18,cks1
53,KIC3217264,5455.3,100,4.416,0.1,0.34700000000000003,0.06,-99,-99,12.184,0.025,285.8537013956351,38.38409161081209,kmag,green18,cks1
54,KIC3231341,6021.9,100,4.135,0.1,-0.04,0.06,-99,-99,13.372,0.037,290.41326209101305,38.34372832977103,kmag,green18,cks1
55,KIC3234843,5461.4,100,4.473,0.1,-0.062,0.06,-99,-99,14.056,0.067,291.4094614911635,38.34001072843873,kmag,green18,cks1
56,KIC3239945,4868.1,100,4.572,0.1,0.034,0.06,-99,-99,11.832,0.022,292.6585253447987,38.34555575638472,kmag,green18,cks1
57,KIC3241557,5659.7,100,4.363,0.1,-0.249,0.06,-99,-99,12.22,0.022,293.07796076087385,38.35901607028267,kmag,green18,cks1
58,KIC3247268,5848.5,100,4.372,0.1,0.149,0.06,-99,-99,13.103,0.034,294.4335227683717,38.355472899434254,kmag,green18,cks1
59,KIC3248033,6348.1,100,4.357,0.1,0.044000000000000004,0.06,-99,-99,10.995,0.023,294.59963108584253,38.36683664997361,kmag,green18,cks1
