,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
0,KIC757450,5305.5,100,-99,-99,0.22899999999999998,0.06,0.0012219128356277173,2.6103955961548142e-05,13.118,0.029,291.13762027936434,36.57734431115277,kmag,green19,cks1
1,KIC1026957,4925.4,100,-99,-99,-0.01,0.06,0.005908299360888681,2.195128619243013e-05,10.41,0.017,291.2544229274798,36.743430200789845,kmag,green19,cks1
2,KIC1027438,6103.6,100,-99,-99,-0.063,0.06,0.0010390635582924385,1.596536385118232e-05,12.188,0.022,291.3539738229923,36.784489219180436,kmag,green19,cks1
3,KIC1718189,5549.2,100,-99,-99,-0.317,0.06,0.0016553581659094789,2.005936543474808e-05,12.732,0.025,290.7287168478391,37.252657539111595,kmag,green19,cks1
4,KIC1718958,5966.2,100,-99,-99,-0.134,0.06,0.0023580374680331477,2.3226596439650687e-05,11.436,0.018,290.91932650162505,37.28716768826346,kmag,green19,cks1
5,KIC1724719,6173.5,100,-99,-99,0.10300000000000001,0.06,0.0010821259263032333,1.7909186341252898e-05,12.59,0.026,292.20467479828017,37.22120648630709,kmag,green19,cks1
6,KIC1849702,4971.5,100,-99,-99,-0.226,0.06,0.0018883778619922331,9.295300647321816e-05,12.146,0.024,286.2859300107134,37.38699146244389,kmag,green19,cks1
7,KIC1865042,5404.5,100,-99,-99,0.122,0.06,0.0013387742456549608,0.0005151219844938001,11.815,0.02,290.6822096567193,37.355159290661376,kmag,green19,cks1
8,KIC1871056,6284.1,100,-99,-99,0.133,0.06,0.0010859004384308991,1.9838494317845898e-05,11.591,0.02,292.0446280297945,37.376186103189056,kmag,green19,cks1
9,KIC1996180,6099.4,100,-99,-99,0.021,0.06,0.0012265837783047495,2.678378034983293e-05,12.503,0.022,286.3442954268307,37.411934661616286,kmag,green19,cks1
10,KIC2141783,6119.9,100,-99,-99,0.201,0.06,0.0008489698319670122,1.709175930463847e-05,12.4,0.025,286.37001128349203,37.552514172323505,kmag,green19,cks1
11,KIC2142501,5730.9,100,-99,-99,-0.0,0.06,0.0031052029311193752,2.7480417160804098e-05,10.895,0.021,286.6190847134347,37.50412089870599,kmag,green19,cks1
12,KIC2142522,6125.2,100,-99,-99,0.14400000000000002,0.06,0.0018115301127167847,2.61813946140424e-05,11.588,0.021,286.6257591353654,37.53731304379771,kmag,green19,cks1
13,KIC2162635,4921.4,100,-99,-99,0.076,0.06,0.0009554850266789464,1.4562836743657666e-05,11.582,0.02,291.97753943752014,37.53246652234232,kmag,green19,cks1
14,KIC2165002,5112.9,100,-99,-99,-0.081,0.06,0.0013498602689334747,2.792638456812134e-05,13.548,0.048,292.46980222237744,37.56779409431533,kmag,green19,cks1
15,KIC2302548,5121.0,100,-99,-99,0.114,0.06,0.0031737843608999204,1.719748725374548e-05,11.585,0.021,291.36473334982514,37.60923901604399,kmag,green19,cks1
16,KIC2305819,5699.6,100,-99,-99,-0.413,0.06,0.004187880332766504,2.1492312894049338e-05,10.354,0.018,292.08057759845667,37.67464617491707,kmag,green19,cks1
17,KIC2307415,6139.8,100,-99,-99,0.052000000000000005,0.06,0.0014377780832718948,2.0521089556248795e-05,11.704,0.021,292.4210998336344,37.68279194622972,kmag,green19,cks1
18,KIC2438264,5078.4,100,-99,-99,0.16899999999999998,0.06,0.0022791052821377997,1.7632277751904297e-05,12.155,0.023,290.2964214343633,37.74942708695613,kmag,green19,cks1
19,KIC2438406,5099.1,100,-99,-99,-0.134,0.06,0.0002926772440793518,4.893263679741853e-05,14.418,0.07399999999999998,290.3150650572775,37.7424654537453,kmag,green19,cks1
20,KIC2438513,5739.4,100,-99,-99,0.07400000000000001,0.06,0.0016393634777260731,1.5893579072586315e-05,12.527999999999999,0.024,290.32864546017896,37.723118841614436,kmag,green19,cks1
21,KIC2441495,5158.6,100,-99,-99,-0.215,0.06,0.0029235470581508564,1.6401615552079382e-05,11.716,0.02,291.021889924062,37.76987342640929,kmag,green19,cks1
22,KIC2443393,6277.5,100,-99,-99,-0.05,0.06,0.0013630034007343645,2.516836311492947e-05,11.359000000000002,0.018,291.45751684672166,37.742910840715034,kmag,green19,cks1
23,KIC2444412,5565.2,100,-99,-99,0.008,0.06,0.0033009651649262297,2.522058877093155e-05,11.047,0.02,291.68328783150935,37.75147255674818,kmag,green19,cks1
24,KIC2449431,5617.9,100,-99,-99,-0.233,0.06,0.0015291516405019784,1.780314081551353e-05,12.251,0.022,292.773943838677,37.79756172468728,kmag,green19,cks1
