,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
0,K00001,5857.0,60,4.7,1,0.02,0.12,0.12,-99,0,9.846,0.022,286.808525789032,49.316421108418645,kmag,allsky,smemp
1,K00002,6165.0,60,4.7,1,0.13,0.12,0.12,-99,0,9.334,0.018,292.2471899929721,47.96954287693603,kmag,allsky,smemp
2,K00004,6241.0,60,4.7,1,-0.05,0.12,0.12,-99,0,10.195,0.023,294.3565558540096,38.94734236018793,kmag,allsky,smemp
3,K00005,5795.0,60,4.7,1,0.16,0.12,0.12,-99,0,10.213,0.013999999999999999,289.7397303246438,44.64734723022454,kmag,allsky,smemp
4,K00006,6130.0,60,4.7,1,-0.12,0.12,0.12,-99,0,10.995,0.023,294.59963108584253,38.36683664997361,kmag,allsky,smemp
5,K00007,5740.0,60,4.7,1,0.17,0.12,0.12,-99,0,10.805,0.023,285.61544923641924,50.13577115890124,kmag,allsky,smemp
6,K00008,5910.0,60,4.7,1,-0.05,0.12,0.12,-99,0,11.04,0.018,298.661051401822,41.137941488232926,kmag,allsky,smemp
7,K00010,6109.0,60,4.7,1,-0.22,0.12,0.12,-99,0,12.293,0.015,281.2881335303437,42.451097515303466,kmag,allsky,smemp
8,K00012,6513.0,60,4.7,1,-0.1,0.12,0.12,-99,0,10.234,0.018,297.4537402018431,41.011018840617275,kmag,allsky,smemp
9,K00013,6683.0,60,4.7,1,-0.25,0.12,0.12,-99,0,9.425,0.013999999999999999,286.9713875612308,46.868246283143684,kmag,allsky,smemp
10,K00017,5539.0,60,4.7,1,0.37,0.12,0.12,-99,0,11.634,0.019,296.83724753743735,48.23996948867032,kmag,allsky,smemp
11,K00018,6279.0,60,4.7,1,0.04,0.12,0.12,-99,0,11.769,0.025,299.4070341306313,44.035038704195856,kmag,allsky,smemp
12,K00020,5993.0,60,4.7,1,0.11,0.12,0.12,-99,0,12.066,0.023,286.24344584606075,50.04036710150058,kmag,allsky,smemp
13,K00022,5795.0,60,4.7,1,0.2,0.12,0.12,-99,0,12.040999999999999,0.011,282.6296333838012,46.323280686358174,kmag,allsky,smemp
14,K00041,5829.0,60,4.7,1,0.11,0.12,0.12,-99,0,9.768,0.013999999999999999,291.38612939263993,41.990139448300845,kmag,allsky,smemp
15,K00044,6171.0,60,4.7,1,-0.07,0.12,0.12,-99,0,11.664000000000001,0.022,300.15185681118146,45.08960844715281,kmag,allsky,smemp
16,K00046,5499.0,60,4.7,1,0.4,0.12,0.12,-99,0,12.011,0.02,283.25550702501704,48.355247415235475,kmag,allsky,smemp
17,K00049,5842.0,60,4.7,1,-0.08,0.12,0.12,-99,0,11.917,0.019,292.24905630936564,46.16479087972642,kmag,allsky,smemp
18,K00063,5367.0,60,4.7,1,0.11,0.12,0.12,-99,0,9.997000000000002,0.022,289.22628758460127,49.54828138010429,kmag,allsky,smemp
19,K00064,5158.0,60,4.7,1,0.03,0.12,0.12,-99,0,11.23,0.016,296.5104902392336,42.54738828772025,kmag,allsky,smemp
20,K00069,5632.0,60,4.7,1,-0.2,0.12,0.12,-99,0,8.37,0.019,291.4181274523133,38.67231242352312,kmag,allsky,smemp
21,K00070,5416.0,60,4.7,1,0.07,0.12,0.12,-99,0,10.870999999999999,0.013,287.6979913452331,42.33857819055356,kmag,allsky,smemp
22,K00072,5661.0,60,4.7,1,-0.15,0.12,0.12,-99,0,9.496,0.021,285.67929796407213,50.241484223586816,kmag,allsky,smemp
23,K00075,5851.0,60,4.7,1,-0.09,0.12,0.12,-99,0,9.387,0.013999999999999999,291.4972151614038,42.72857290522392,kmag,allsky,smemp
24,K00076,6381.0,60,4.7,1,-0.09,0.12,0.12,-99,0,9.115,0.012,293.5419192832797,46.822168575094345,kmag,allsky,smemp
