,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
0,K00001,5852.63272086,100,4.7,1,0.0164538451715,0.06,0.12,-99,0,9.846,0.022,286.808525789,49.3164211084,kmag,allsky,smsyn
1,K00002,6376.30124769,100,4.7,1,0.210635623425,0.06,0.12,-99,0,9.334,0.018,292.247189993,47.9695428769,kmag,allsky,smsyn
2,K00004,6006.50393684,100,4.7,1,-0.16381594785,0.06,0.12,-99,0,10.195,0.023,294.356555854,38.9473423602,kmag,allsky,smsyn
3,K00005,5843.50458575,100,4.7,1,0.139246904296,0.06,0.12,-99,0,10.213,0.014,289.739730325,44.6473472302,kmag,allsky,smsyn
4,K00006,6348.12252208,100,4.7,1,0.0442046752943,0.06,0.12,-99,0,10.995,0.023,294.599631086,38.36683665,kmag,allsky,smsyn
5,K00007,5824.02145697,100,4.7,1,0.183425635296,0.06,0.12,-99,0,10.805,0.023,285.615449236,50.1357711589,kmag,allsky,smsyn
6,K00008,5891.04721863,100,4.7,1,-0.0656974069479,0.06,0.12,-99,0,11.04,0.018,298.661051402,41.1379414882,kmag,allsky,smsyn
7,K00010,6168.14620587,100,4.7,1,-0.0676976681433,0.06,0.12,-99,0,12.293,0.015,281.28813353,42.4510975153,kmag,allsky,smsyn
8,K00012,5886.83135465,100,4.7,1,-0.380315534947,0.06,0.12,-99,0,10.234,0.018,297.453740202,41.0110188406,kmag,allsky,smsyn
9,K00013,6162.30937578,100,4.7,1,-1.06732768254,0.06,0.12,-99,0,9.425,0.014,286.971387561,46.8682462831,kmag,allsky,smsyn
10,K00017,5676.87383712,100,4.7,1,0.375174037444,0.06,0.12,-99,0,11.634,0.019,296.837247537,48.2399694887,kmag,allsky,smsyn
11,K00018,6284.05207734,100,4.7,1,0.0173919805783,0.06,0.12,-99,0,11.769,0.025,299.407034131,44.0350387042,kmag,allsky,smsyn
12,K00020,5926.46954009,100,4.7,1,0.0334331844426,0.06,0.12,-99,0,12.066,0.023,286.243445846,50.0403671015,kmag,allsky,smsyn
13,K00022,5887.61086606,100,4.7,1,0.21398717895,0.06,0.12,-99,0,12.041,0.011,282.629633384,46.3232806864,kmag,allsky,smsyn
14,K00041,5858.53527697,100,4.7,1,0.103999467378,0.06,0.12,-99,0,9.768,0.014,291.386129393,41.9901394483,kmag,allsky,smsyn
15,K00044,5778.26145095,100,4.7,1,-0.246627566293,0.06,0.12,-99,0,11.664,0.022,300.151856811,45.0896084472,kmag,allsky,smsyn
16,K00046,5621.54616297,100,4.7,1,0.386434912102,0.06,0.12,-99,0,12.011,0.02,283.255507025,48.3552474152,kmag,allsky,smsyn
17,K00049,5804.22184095,100,4.7,1,-0.0570830162844,0.06,0.12,-99,0,11.917,0.019,292.249056309,46.1647908797,kmag,allsky,smsyn
18,K00063,5635.91297091,100,4.7,1,0.230424791174,0.06,0.12,-99,0,9.997,0.022,289.226287585,49.5482813801,kmag,allsky,smsyn
19,K00064,5317.39428788,100,4.7,1,0.0740918324865,0.06,0.12,-99,0,11.23,0.016,296.510490239,42.5473882877,kmag,allsky,smsyn
20,K00069,5614.07720915,100,4.7,1,-0.0942214193247,0.06,0.12,-99,0,8.37,0.019,291.418127452,38.6723124235,kmag,allsky,smsyn
21,K00070,5521.75506783,100,4.7,1,0.107064090023,0.06,0.12,-99,0,10.871,0.013,287.697991345,42.3385781906,kmag,allsky,smsyn
22,K00072,5640.77665044,100,4.7,1,-0.092285138104,0.06,0.12,-99,0,9.496,0.021,285.679297964,50.2414842236,kmag,allsky,smsyn
23,K00075,5877.12733058,100,4.7,1,-0.0766848450955,0.06,0.12,-99,0,9.387,0.014,291.497215161,42.7285729052,kmag,allsky,smsyn
24,K00076,6405.01716375,100,4.7,1,-0.0239147030569,0.06,0.12,-99,0,9.115,0.012,293.541919283,46.8221685751,kmag,allsky,smsyn
25,K00082,4901.11084414,100,4.7,1,0.117055071266,0.06,0.12,-99,0,9.351,0.011,281.482473095,47.2078263332,kmag,allsky,smsyn
26,K00084,5526.91489112,100,4.7,1,-0.0390657977723,0.06,0.12,-99,0,10.318,0.019,290.420969441,37.8516556226,kmag,allsky,smsyn
27,K00085,6217.48827082,100,4.7,1,0.147775399631,0.06,0.12,-99,0,9.806,0.017,288.688722129,41.1511076095,kmag,allsky,smsyn
28,K00089,5966.22752004,100,4.7,1,-0.873013960959,0.06,0.12,-99,0,10.851,0.02,299.821150173,43.8142792765,kmag,allsky,smsyn
29,K00092,5930.60226875,100,4.7,1,0.0872556455036,0.06,0.12,-99,0,10.3,0.016,283.374887278,43.7883708227,kmag,allsky,smsyn
30,K00094,6159.07854086,100,4.7,1,0.0675236793451,0.06,0.12,-99,0,10.926,0.019,297.333071584,41.8911186219,kmag,allsky,smsyn
31,K00097,6033.28911729,100,4.7,1,0.184280424057,0.06,0.12,-99,0,11.535,0.02,288.58149281,41.0897335401,kmag,allsky,smsyn
32,K00100,6400.27329243,100,4.7,1,-0.166043369659,0.06,0.12,-99,0,11.366,0.02,291.177941706,39.1994763248,kmag,allsky,smsyn
33,K00103,5583.96066043,100,4.7,1,0.0135480067325,0.06,0.12,-99,0,11.047,0.02,291.683287832,37.7514725567,kmag,allsky,smsyn
34,K00104,4748.48044915,100,4.7,1,0.333635714293,0.06,0.12,-99,0,10.594,0.011,281.194731577,47.4972606003,kmag,allsky,smsyn
35,K00105,5559.012797,100,4.7,1,-0.37047702714,0.06,0.12,-99,0,11.209,0.02,298.936822752,44.8578644261,kmag,allsky,smsyn
36,K00107,5933.92361468,100,4.7,1,0.277379033217,0.06,0.12,-99,0,11.338,0.016,294.835105168,48.9823203973,kmag,allsky,smsyn
37,K00108,5918.10145976,100,4.7,1,0.151003681136,0.06,0.12,-99,0,10.873,0.017,288.984551172,40.0644857408,kmag,allsky,smsyn
38,K00110,6237.85399472,100,4.7,1,-0.157293584126,0.06,0.12,-99,0,11.456,0.017,284.555785276,46.0638864541,kmag,allsky,smsyn
39,K00111,5902.20686131,100,4.7,1,-0.367138746751,0.06,0.12,-99,0,11.209,0.011,287.604662064,42.1665104307,kmag,allsky,smsyn
40,K00115,5947.56091149,100,4.7,1,-0.104218902396,0.06,0.12,-99,0,11.503,0.013,287.887237616,46.2761224319,kmag,allsky,smsyn
41,K00116,5860.1189346,100,4.7,1,-0.102889936163,0.06,0.12,-99,0,11.431,0.018,300.864006037,44.3375497413,kmag,allsky,smsyn
42,K00117,5855.64365114,100,4.7,1,0.328185233476,0.06,0.12,-99,0,11.06,0.016,297.028162033,48.2086019061,kmag,allsky,smsyn
43,K00118,5771.44758969,100,4.7,1,0.0754424251961,0.06,0.12,-99,0,10.897,0.018,287.362914454,38.6497341062,kmag,allsky,smsyn
44,K00122,5658.95916141,100,4.7,1,0.27131213549,0.06,0.12,-99,0,10.801,0.017,284.482428102,44.3978910231,kmag,allsky,smsyn
45,K00123,5939.59579202,100,4.7,1,-0.0162455158029,0.06,0.12,-99,0,11.001,0.017,290.392679457,40.2849073667,kmag,allsky,smsyn
46,K00124,5973.26212828,100,4.7,1,-0.101159044323,0.06,0.12,-99,0,11.623,0.019,292.929169296,48.6028302599,kmag,allsky,smsyn
47,K00127,5575.46250594,100,4.7,1,0.360032347774,0.06,0.12,-99,0,12.361,0.018,289.607943273,44.3454347101,kmag,allsky,smsyn
48,K00128,5647.77852842,100,4.7,1,0.266909408647,0.06,0.12,-99,0,12.216,0.028,296.20055063,49.1400304374,kmag,allsky,smsyn
49,K00131,6552.83816186,100,4.7,1,0.242446404427,0.06,0.12,-99,0,12.562,0.024,299.097516729,43.4975850605,kmag,allsky,smsyn
50,K00134,6254.70414111,100,4.7,1,0.29994322101,0.06,0.12,-99,0,12.322,0.018,295.586597971,45.3649371263,kmag,allsky,smsyn
51,K00135,5950.06233263,100,4.7,1,0.35818494208,0.06,0.12,-99,0,12.549,0.03,285.240828807,46.668241075,kmag,allsky,smsyn
52,K00137,5472.16620155,100,4.7,1,0.300642459615,0.06,0.12,-99,0,11.756,0.019,298.079444759,44.7462479635,kmag,allsky,smsyn
53,K00138,6679.59927273,100,4.7,1,-0.153248924543,0.06,0.12,-99,0,12.719,0.029,295.94093939,44.5783408443,kmag,allsky,smsyn
54,K00139,5917.70103914,100,4.7,1,0.222555136055,0.06,0.12,-99,0,12.11,0.023,291.653162965,44.6882612706,kmag,allsky,smsyn
55,K00144,4919.63913828,100,4.7,1,0.2830103206,0.06,0.12,-99,0,11.461,0.014,296.524518732,39.2498502922,kmag,allsky,smsyn
