obs,id_obs,id_name,id_koi
rj70.1041,rj70.1041,K00005,5
rj70.1045,rj70.1045,K00010,10
rj70.1247,rj70.1247,K00006,6
rj70.1251,rj70.1251,K00008,8
rj72.483,rj72.483,K00017,17
rj72.487,rj72.487,K00018,18
rj72.816,rj72.816,K00020,20
rj72.820,rj72.820,K00022,22
rj74.509,rj74.509,K00007,7
rj74.513,rj74.513,K00041,41
rj74.514,rj74.514,K00041,41
rj74.515,rj74.515,K00041,41
rj74.694,rj74.694,K00063,63
rj74.695,rj74.695,K00064,64
rj76.891,rj76.891,K00148,148
rj76.892,rj76.892,K00148,148
rj76.893,rj76.893,K00148,148
rj76.895,rj76.895,K00148,148
rj76.1081,rj76.1081,K00064,64
rj76.1082,rj76.1082,K00064,64
rj76.1086,rj76.1086,K00007,7
rj76.1087,rj76.1087,K00007,7
rj76.1088,rj76.1088,K00007,7
rj76.1275,rj76.1275,K00069,69
rj76.1276,rj76.1276,K00069,69
rj76.1277,rj76.1277,K00069,69
rj76.1278,rj76.1278,K00069,69
rj76.1282,rj76.1282,K00022,22
rj76.1283,rj76.1283,K00022,22
rj76.1287,rj76.1287,K00020,20
rj76.1288,rj76.1288,K00020,20
rj76.1507,rj76.1507,K00084,84
rj76.1511,rj76.1511,K00103,103
rj76.1683,rj76.1683,K00123,123
rj76.1684,rj76.1684,K00123,123
rj76.1689,rj76.1689,K00072,72
rj76.1868,rj76.1868,K00070,70
rj76.1869,rj76.1869,K00070,70
rj76.1873,rj76.1873,K00122,122
rj76.2079,rj76.2079,K00108,108
rj76.2083,rj76.2083,K00137,137
rj76.2280,rj76.2280,K00098,98
rj76.2281,rj76.2281,K00180,180
rj76.2282,rj76.2282,K00145,145
rj77.874,rj77.874,K00010,10
rj77.875,rj77.875,K00010,10
rj78.130,rj78.130,K00097,97
rj78.131,rj78.131,K00099,99
rj78.422,rj78.422,K00097,97
rj80.772,rj80.772,K00072,72
rj80.773,rj80.773,K00072,72
rj80.774,rj80.774,K00072,72
rj90.90,rj90.90,K00042,42
rj90.784,rj90.784,K00227,227
rj91.152,rj91.152,K00377,377
rj92.118,rj92.118,K00013,13
rj92.147,rj92.147,K00377,377
rj92.152,rj92.152,K00877,877
rj92.153,rj92.153,K00896,896
rj93.114,rj93.114,K00250,250
rj93.117,rj93.117,K00377,377
rj93.298,rj93.298,K00377,377
rj93.303,rj93.303,K00020,20
rj93.1316,rj93.1316,K00377,377
rj93.1495,rj93.1495,K00646,646
rj93.1712,rj93.1712,K00771,771
rj93.1713,rj93.1713,K00962,962
rj95.1302,rj95.1302,K00153,153
rj95.1311,rj95.1311,K00123,123
rj96.89,rj96.89,K00292,292
rj96.93,rj96.93,K00245,245
rj96.94,rj96.94,K00246,246
rj96.95,rj96.95,K00111,111
rj96.580,rj96.580,K00399,399
rj96.774,rj96.774,K00366,366
rj96.775,rj96.775,K00366,366
rj96.776,rj96.776,K00399,399
rj96.782,rj96.782,K00261,261
rj96.992,rj96.992,K00082,82
rj97.124,rj97.124,K00328,328
rj97.294,rj97.294,K00263,263
rj97.298,rj97.298,K00274,274
rj97.302,rj97.302,K00299,299
rj97.479,rj97.479,K00103,103
rj97.500,rj97.500,K00321,321
rj97.677,rj97.677,K00148,148
rj97.1478,rj97.1478,K00070,70
rj97.1482,rj97.1482,K00305,305
rj97.1487,rj97.1487,K00137,137
rj97.2384,rj97.2384,K00104,104
rj97.2389,rj97.2389,K00116,116
rj97.2393,rj97.2393,K00283,283
rj97.2795,rj97.2795,K00972,972
rj97.2796,rj97.2796,K00108,108
rj97.3187,rj97.3187,K00975,975
rj98.97,rj98.97,K00157,157
rj100.71,rj100.71,K00087,87
rj100.72,rj100.72,K00365,365
rj100.73,rj100.73,K00075,75
rj102.105,rj102.105,K00174,174
rj106.174,rj106.174,K00157,157
rj106.478,rj106.478,K00005,5
rj108.65,rj108.65,K01019,1019
rj116.207,rj116.207,K00367,367
rj116.208,rj116.208,K00244,244
rj116.663,rj116.663,CK01299,1299
rj116.664,rj116.664,CK00372,372
rj117.149,rj117.149,CK00976,976
rj117.150,rj117.150,CK00262,262
rj117.151,rj117.151,CK00260,260
rj117.152,rj117.152,CK00977,977
rj117.153,rj117.153,CK00981,981
rj117.154,rj117.154,CK00257,257
rj117.155,rj117.155,CK00269,269
rj117.156,rj117.156,CK00085,85
rj117.157,rj117.157,CK00288,288
rj117.158,rj117.158,CK00280,280
rj117.159,rj117.159,CK00012,12
rj117.160,rj117.160,CK00368,368
rj117.161,rj117.161,CK00271,271
rj117.162,rj117.162,CK00282,282
rj117.163,rj117.163,CK00285,285
rj117.164,rj117.164,CK01221,1221
rj117.165,rj117.165,CK00089,89
rj117.166,rj117.166,CK00092,92
rj117.167,rj117.167,CK00279,279
rj117.168,rj117.168,CK00275,275
rj117.169,rj117.169,CK01283,1283
rj117.170,rj117.170,CK01537,1537
rj117.171,rj117.171,CK00623,623
rj117.172,rj117.172,CK00276,276
rj117.173,rj117.173,CK00277,277
rj117.174,rj117.174,CK01054,1054
rj117.175,rj117.175,CK01316,1316
rj117.176,rj117.176,CK00370,370
rj117.177,rj117.177,CK00281,281
rj117.178,rj117.178,CK00369,369
rj117.179,rj117.179,CK00265,265
rj117.180,rj117.180,CK00302,302
rj117.181,rj117.181,CK01525,1525
rj117.182,rj117.182,CK00297,297
rj117.183,rj117.183,CK00371,371
rj117.424,rj117.424,CK00254,254
rj117.630,rj117.630,CK00254,254
rj117.635,rj117.635,CK00374,374
rj117.636,rj117.636,CK00318,318
rj117.637,rj117.637,CK00295,295
rj117.638,rj117.638,CK00308,308
rj117.639,rj117.639,CK00113,113
rj117.640,rj117.640,CK00117,117
rj117.641,rj117.641,CK00304,304
rj117.642,rj117.642,CK00987,987
rj118.461,rj118.461,CK00258,258
rj118.462,rj118.462,CK00268,268
rj118.463,rj118.463,CK00270,270
rj118.464,rj118.464,CK00303,303
rj118.465,rj118.465,CK00118,118
rj118.466,rj118.466,CK00312,312
rj118.467,rj118.467,CK00323,323
rj118.468,rj118.468,CK00102,102
rj118.469,rj118.469,CK00100,100
rj118.471,rj118.471,CK00373,373
rj118.473,rj118.473,CK00115,115
rj118.474,rj118.474,CK00307,307
rj118.475,rj118.475,CK00317,317
rj118.476,rj118.476,CK01020,1020
rj118.854,rj118.854,CK00315,315
rj118.855,rj118.855,CK00326,326
rj118.856,rj118.856,CK00327,327
rj118.857,rj118.857,CK00635,635
rj118.858,rj118.858,CK00332,332
rj118.859,rj118.859,CK00355,355
rj118.860,rj118.860,CK00719,719
rj118.861,rj118.861,CK00679,679
rj118.862,rj118.862,CK00177,177
rj118.863,rj118.863,CK00343,343
rj118.864,rj118.864,CK00354,354
rj118.865,rj118.865,CK00167,167
rj118.866,rj118.866,CK00384,384
rj118.867,rj118.867,CK00710,710
rj118.868,rj118.868,CK00627,627
rj118.869,rj118.869,CK00379,379
rj118.870,rj118.870,CK00640,640
rj118.871,rj118.871,CK00341,341
rj118.1348,rj118.1348,CK00714,714
rj118.1349,rj118.1349,CK00659,659
rj118.1350,rj118.1350,CK00385,385
rj118.1351,rj118.1351,CK00338,338
rj118.1352,rj118.1352,CK00044,44
rj118.1353,rj118.1353,CK00626,626
rj118.1354,rj118.1354,CK00155,155
rj118.1355,rj118.1355,CK00163,163
rj118.1356,rj118.1356,CK00393,393
rj118.1357,rj118.1357,CK00625,625
rj118.1358,rj118.1358,CK00650,650
rj118.1359,rj118.1359,CK00638,638
rj118.1360,rj118.1360,CK00721,721
rj118.1361,rj118.1361,CK00697,697
rj118.1362,rj118.1362,CK00141,141
rj118.1363,rj118.1363,CK00683,683
rj119.829,rj119.829,K00364,364
